code,source_authority,geographic_identifier_nom
5219009,ICCAT,AT-SE
5219010,ICCAT,AT-SE
5219011,ICCAT,AT-SE
5219013,ICCAT,AT-SE
5219034,IOTC,IOTC_WEST
5219036,IOTC,IOTC_WEST
5219037,IOTC,IOTC_WEST
5219038,IOTC,IOTC_WEST
5219039,IOTC,IOTC_WEST
5219040,IOTC,IOTC_WEST
5219041,IOTC,IOTC_WEST
5219042,IOTC,IOTC_WEST
5219043,IOTC,IOTC_WEST
5219044,IOTC,IOTC_WEST
5219049,IOTC,IOTC_WEST
5219050,IOTC,IOTC_WEST
5219051,IOTC,IOTC_WEST
5219052,IOTC,IOTC_WEST
5219053,IOTC,IOTC_WEST
5219054,IOTC,IOTC_WEST
5219055,IOTC,IOTC_WEST
5219056,IOTC,IOTC_WEST
5219057,IOTC,IOTC_WEST
5219058,IOTC,IOTC_WEST
5219059,IOTC,IOTC_WEST
5219060,IOTC,IOTC_WEST
5219061,IOTC,IOTC_WEST
5219062,IOTC,IOTC_WEST
5219064,IOTC,IOTC_WEST
5219066,IOTC,IOTC_WEST
5219074,IOTC,IOTC_WEST
5219083,IOTC,IOTC_EAST
5219110,IOTC,IOTC_EAST
5219119,IOTC,IOTC_EAST
5220000,ICCAT,AT-SE
5220001,ICCAT,AT-SE
5220002,ICCAT,AT-SE
5220003,ICCAT,AT-SE
5220004,ICCAT,AT-SE
5220005,ICCAT,AT-SE
5220006,ICCAT,AT-SE
5220007,ICCAT,AT-SE
5220008,ICCAT,AT-SE
5220009,ICCAT,AT-SE
5220010,ICCAT,AT-SE
5220011,ICCAT,AT-SE
5220012,ICCAT,AT-SE
5220013,ICCAT,AT-SE
5220034,IOTC,IOTC_WEST
5220035,IOTC,IOTC_WEST
5220036,IOTC,IOTC_WEST
5220037,IOTC,IOTC_WEST
5220038,IOTC,IOTC_WEST
5220039,IOTC,IOTC_WEST
5220040,IOTC,IOTC_WEST
5220041,IOTC,IOTC_WEST
5220042,IOTC,IOTC_WEST
5220043,IOTC,IOTC_WEST
5220048,IOTC,IOTC_WEST
